Model,Storage,Status,Quality,Price
IPHONE 12 PRO,128GB,locked,flawless,$171.30
IPHONE 12 PRO,128GB,locked,good,$173.25
IPHONE 12 PRO,128GB,locked,fair,$122.00
IPHONE 12 PRO,128GB,locked,damaged,$92.00
IPHONE 12 PRO,128GB,unlocked,flawless,$179.37
IPHONE 12 PRO,128GB,unlocked,good,$181.39
IPHONE 12 PRO,128GB,unlocked,fair,$126.00
IPHONE 12 PRO,128GB,unlocked,damaged,$93.00
IPHONE 12 PRO,256GB,locked,flawless,$180.10
IPHONE 12 PRO,256GB,locked,good,$182.33
IPHONE 12 PRO,256GB,locked,fair,$162.00
IPHONE 12 PRO,256GB,locked,damaged,$92.00
IPHONE 12 PRO,256GB,unlocked,flawless,$188.17
IPHONE 12 PRO,256GB,unlocked,good,$190.26
IPHONE 12 PRO,256GB,unlocked,fair,$162.00
IPHONE 12 PRO,256GB,unlocked,damaged,$93.00
IPHONE 12 PRO,512GB,locked,flawless,$212.10
IPHONE 12 PRO,512GB,locked,good,$214.33
IPHONE 12 PRO,512GB,locked,fair,$162.00
IPHONE 12 PRO,512GB,locked,damaged,$92.00
IPHONE 12 PRO,512GB,unlocked,flawless,$220.17
IPHONE 12 PRO,512GB,unlocked,good,$221.84
IPHONE 12 PRO,512GB,unlocked,fair,$162.00
IPHONE 12 PRO,512GB,unlocked,damaged,$112.00
IPHONE 12 PRO MAX,128GB,locked,flawless,$211.55
IPHONE 12 PRO MAX,128GB,locked,good,$213.98
IPHONE 12 PRO MAX,128GB,locked,fair,$149.00
IPHONE 12 PRO MAX,128GB,locked,damaged,$112.00
IPHONE 12 PRO MAX,128GB,unlocked,flawless,$219.41
IPHONE 12 PRO MAX,128GB,unlocked,good,$221.43
IPHONE 12 PRO MAX,128GB,unlocked,fair,$167.00
IPHONE 12 PRO MAX,128GB,unlocked,damaged,$112.00
IPHONE 12 PRO MAX,256GB,locked,flawless,$232.63
IPHONE 12 PRO MAX,256GB,locked,good,$236.80
IPHONE 12 PRO MAX,256GB,locked,fair,$167.00
IPHONE 12 PRO MAX,256GB,locked,damaged,$112.00
IPHONE 12 PRO MAX,256GB,unlocked,flawless,$241.81
IPHONE 12 PRO MAX,256GB,unlocked,good,$243.83
IPHONE 12 PRO MAX,256GB,unlocked,fair,$187.00
IPHONE 12 PRO MAX,256GB,unlocked,damaged,$122.00
IPHONE 12 PRO MAX,512GB,locked,flawless,$239.30
IPHONE 12 PRO MAX,512GB,locked,good,$242.57
IPHONE 12 PRO MAX,512GB,locked,fair,$182.00
IPHONE 12 PRO MAX,512GB,locked,damaged,$112.00
IPHONE 12 PRO MAX,512GB,unlocked,flawless,$248.56
IPHONE 12 PRO MAX,512GB,unlocked,good,$250.30
IPHONE 12 PRO MAX,512GB,unlocked,fair,$202.00
IPHONE 12 PRO MAX,512GB,unlocked,damaged,$142.00
IPHONE 13,128GB,locked,flawless,$181.43
IPHONE 13,128GB,locked,good,$184.70
IPHONE 13,128GB,locked,fair,$112.00
IPHONE 13,128GB,locked,damaged,$58.00
IPHONE 13,128GB,unlocked,flawless,$189.91
IPHONE 13,128GB,unlocked,good,$192.14
IPHONE 13,128GB,unlocked,fair,$123.00
IPHONE 13,128GB,unlocked,damaged,$73.00
IPHONE 13,256GB,locked,flawless,$196.63
IPHONE 13,256GB,locked,good,$199.83
IPHONE 13,256GB,locked,fair,$156.00
IPHONE 13,256GB,locked,damaged,$63.00
IPHONE 13,256GB,unlocked,flawless,$200.17
IPHONE 13,256GB,unlocked,good,$200.17
IPHONE 13,256GB,unlocked,fair,$175.41
IPHONE 13,256GB,unlocked,damaged,$156.00
IPHONE 13,512GB,locked,flawless,$234.19
IPHONE 13,512GB,locked,good,$237.74
IPHONE 13,512GB,locked,fair,$173.00
IPHONE 13,512GB,locked,damaged,$83.00
IPHONE 13,512GB,unlocked,flawless,$240.17
IPHONE 13,512GB,unlocked,good,$240.17
IPHONE 13,512GB,unlocked,fair,$214.09
IPHONE 13,512GB,unlocked,damaged,$171.00
IPHONE 13 MINI,128GB,locked,flawless,$146.57
IPHONE 13 MINI,128GB,locked,good,$136.00
IPHONE 13 MINI,128GB,locked,fair,$83.00
IPHONE 13 MINI,128GB,locked,damaged,$57.00
IPHONE 13 MINI,128GB,unlocked,flawless,$153.18
IPHONE 13 MINI,128GB,unlocked,good,$154.64
IPHONE 13 MINI,128GB,unlocked,fair,$107.00
IPHONE 13 MINI,128GB,unlocked,damaged,$58.00
IPHONE 13 MINI,256GB,locked,flawless,$184.35
IPHONE 13 MINI,256GB,locked,good,$168.00
IPHONE 13 MINI,256GB,locked,fair,$107.00
IPHONE 13 MINI,256GB,locked,damaged,$77.00
IPHONE 13 MINI,256GB,unlocked,flawless,$190.96
IPHONE 13 MINI,256GB,unlocked,good,$192.42
IPHONE 13 MINI,256GB,unlocked,fair,$147.00
IPHONE 13 MINI,256GB,unlocked,damaged,$78.00
IPHONE 13 MINI,512GB,locked,flawless,$213.00
IPHONE 13 MINI,512GB,locked,good,$189.00
IPHONE 13 MINI,512GB,locked,fair,$122.00
IPHONE 13 MINI,512GB,locked,damaged,$97.00
IPHONE 13 MINI,512GB,unlocked,flawless,$243.00
IPHONE 13 MINI,512GB,unlocked,good,$221.00
IPHONE 13 MINI,512GB,unlocked,fair,$162.00
IPHONE 13 MINI,512GB,unlocked,damaged,$73.00
IPHONE 13 PRO,1TB,locked,flawless,$235.48
IPHONE 13 PRO,1TB,locked,good,$240.00
IPHONE 13 PRO,1TB,locked,fair,$202.00
IPHONE 13 PRO,1TB,locked,damaged,$133.00
IPHONE 13 PRO,1TB,unlocked,flawless,$244.17
IPHONE 13 PRO,1TB,unlocked,good,$244.73
IPHONE 13 PRO,1TB,unlocked,fair,$227.00
IPHONE 13 PRO,1TB,unlocked,damaged,$182.00
IPHONE 13 PRO,128GB,locked,flawless,$100.56
IPHONE 13 PRO,128GB,locked,good,$104.45
IPHONE 13 PRO,128GB,locked,fair,$93.04
IPHONE 13 PRO,128GB,locked,damaged,$77.67
IPHONE 13 PRO,128GB,unlocked,flawless,$327.00
IPHONE 13 PRO,128GB,unlocked,good,$280.00
IPHONE 13 PRO,128GB,unlocked,fair,$170.00
IPHONE 13 PRO,128GB,unlocked,damaged,$133.00
IPHONE 13 PRO,256GB,locked,flawless,$249.63
IPHONE 13 PRO,256GB,locked,good,$253.04
IPHONE 13 PRO,256GB,locked,fair,$179.00
IPHONE 13 PRO,256GB,locked,damaged,$132.00
IPHONE 13 PRO,256GB,unlocked,flawless,$258.54
IPHONE 13 PRO,256GB,unlocked,good,$260.63
IPHONE 13 PRO,256GB,unlocked,fair,$192.00
IPHONE 13 PRO,256GB,unlocked,damaged,$133.00
IPHONE 13 PRO,512GB,locked,flawless,$306.50
IPHONE 13 PRO,512GB,locked,good,$296.00
IPHONE 13 PRO,512GB,locked,fair,$187.00
IPHONE 13 PRO,512GB,locked,damaged,$132.00
IPHONE 13 PRO,512GB,unlocked,flawless,$315.41
IPHONE 13 PRO,512GB,unlocked,good,$318.33
IPHONE 13 PRO,512GB,unlocked,fair,$212.00
IPHONE 13 PRO,512GB,unlocked,damaged,$153.00
IPHONE 13 PRO MAX,1TB,locked,flawless,$267.48
IPHONE 13 PRO MAX,1TB,locked,good,$267.48
IPHONE 13 PRO MAX,1TB,locked,fair,$256.63
IPHONE 13 PRO MAX,1TB,locked,damaged,$238.33
IPHONE 13 PRO MAX,1TB,unlocked,flawless,$276.17
IPHONE 13 PRO MAX,1TB,unlocked,good,$276.17
IPHONE 13 PRO MAX,1TB,unlocked,fair,$256.63
IPHONE 13 PRO MAX,1TB,unlocked,damaged,$232.00
IPHONE 13 PRO MAX,128GB,locked,flawless,$343.00
IPHONE 13 PRO MAX,128GB,locked,good,$316.00
IPHONE 13 PRO MAX,128GB,locked,fair,$207.00
IPHONE 13 PRO MAX,128GB,locked,damaged,$137.00
IPHONE 13 PRO MAX,128GB,unlocked,flawless,$343.00
IPHONE 13 PRO MAX,128GB,unlocked,good,$316.00
IPHONE 13 PRO MAX,128GB,unlocked,fair,$207.00
IPHONE 13 PRO MAX,128GB,unlocked,damaged,$152.00
IPHONE 13 PRO MAX,256GB,locked,flawless,$299.48
IPHONE 13 PRO MAX,256GB,locked,good,$300.87
IPHONE 13 PRO MAX,256GB,locked,fair,$247.00
IPHONE 13 PRO MAX,256GB,locked,damaged,$140.00
IPHONE 13 PRO MAX,256GB,unlocked,flawless,$308.17
IPHONE 13 PRO MAX,256GB,unlocked,good,$309.57
IPHONE 13 PRO MAX,256GB,unlocked,fair,$247.00
IPHONE 13 PRO MAX,256GB,unlocked,damaged,$182.00
IPHONE 13 PRO MAX,512GB,locked,flawless,$335.48
IPHONE 13 PRO MAX,512GB,locked,good,$336.17
IPHONE 13 PRO MAX,512GB,locked,fair,$257.00
IPHONE 13 PRO MAX,512GB,locked,damaged,$187.00
IPHONE 13 PRO MAX,512GB,unlocked,flawless,$344.17
IPHONE 13 PRO MAX,512GB,unlocked,good,$344.87
IPHONE 13 PRO MAX,512GB,unlocked,fair,$257.00
IPHONE 13 PRO MAX,512GB,unlocked,damaged,$202.00
IPHONE 14,128GB,locked,flawless,$193.00
IPHONE 14,128GB,locked,good,$165.00
IPHONE 14,128GB,locked,fair,$120.00
IPHONE 14,128GB,locked,damaged,$73.00
IPHONE 14,128GB,unlocked,flawless,$211.51
IPHONE 14,128GB,unlocked,good,$199.00
IPHONE 14,128GB,unlocked,fair,$149.00
IPHONE 14,128GB,unlocked,damaged,$88.00
IPHONE 14,256GB,locked,flawless,$213.00
IPHONE 14,256GB,locked,good,$184.00
IPHONE 14,256GB,locked,fair,$126.00
IPHONE 14,256GB,locked,damaged,$108.00
IPHONE 14,256GB,unlocked,flawless,$239.90
IPHONE 14,256GB,unlocked,good,$231.00
IPHONE 14,256GB,unlocked,fair,$177.00
IPHONE 14,256GB,unlocked,damaged,$113.00
IPHONE 14,512GB,locked,flawless,$262.00
IPHONE 14,512GB,locked,good,$242.00
IPHONE 14,512GB,locked,fair,$177.00
IPHONE 14,512GB,locked,damaged,$113.00
IPHONE 14,512GB,unlocked,flawless,$265.70
IPHONE 14,512GB,unlocked,good,$269.32
IPHONE 14,512GB,unlocked,fair,$197.00
IPHONE 14,512GB,unlocked,damaged,$123.00
IPHONE 14 PLUS,128GB,locked,flawless,$216.10
IPHONE 14 PLUS,128GB,locked,good,$211.00
IPHONE 14 PLUS,128GB,locked,fair,$152.00
IPHONE 14 PLUS,128GB,locked,damaged,$139.00
IPHONE 14 PLUS,128GB,unlocked,flawless,$222.09
IPHONE 14 PLUS,128GB,unlocked,good,$225.08
IPHONE 14 PLUS,128GB,unlocked,fair,$187.00
IPHONE 14 PLUS,128GB,unlocked,damaged,$128.00
IPHONE 14 PLUS,256GB,locked,flawless,$241.53
IPHONE 14 PLUS,256GB,locked,good,$244.38
IPHONE 14 PLUS,256GB,locked,fair,$177.00
IPHONE 14 PLUS,256GB,locked,damaged,$150.00
IPHONE 14 PLUS,256GB,unlocked,flawless,$247.93
IPHONE 14 PLUS,256GB,unlocked,good,$250.85
IPHONE 14 PLUS,256GB,unlocked,fair,$212.00
IPHONE 14 PLUS,256GB,unlocked,damaged,$148.00
IPHONE 14 PLUS,512GB,locked,flawless,$270.61
IPHONE 14 PLUS,512GB,locked,good,$273.39
IPHONE 14 PLUS,512GB,locked,fair,$212.00
IPHONE 14 PLUS,512GB,locked,damaged,$160.00
IPHONE 14 PLUS,512GB,unlocked,flawless,$278.19
IPHONE 14 PLUS,512GB,unlocked,good,$280.63
IPHONE 14 PLUS,512GB,unlocked,fair,$232.00
